,10p,10q,11p,11q,12p,12q,13q,14q,15q,16p,16q,17p,17q,18p,18q,19p,19q,1p,1q,20p,20q,21q,22q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q
TCGA-CS-4938,0.0,0.0,-0.0045662100456621,0.0,0.0,0.0,-0.0029585798816568047,-0.5963020030816641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004629629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-CS-4941,-1.0,-0.9982876712328768,0.0,-0.0011961722488038277,0.0,-0.42231075697211157,0.0,-0.9984591679506933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009302325581395349,-0.0010224948875255625,0.0,0.0,0.0,-0.10492505353319058,0.0,0.0,-0.0019880715705765406,0.0,0.0,0.0,0.0,0.0,0.0,-0.002331002331002331,0.0,0.0,0.0,0.0,0.0,-0.0017152658662092624
TCGA-CS-4942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6933744221879815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.538552787663108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-CS-4943,0.0,-0.0017123287671232876,-0.545662100456621,-0.0023923444976076554,-0.24738675958188153,0.0,-0.863905325443787,0.0,0.0,-0.002232142857142857,0.0,0.0,0.0,-0.9857142857142858,-0.0048543689320388345,0.0,-0.9655990510083037,0.0,-0.06032719836400818,-0.005649717514124294,0.0,-0.9900990099009901,-1.0,-0.043933054393305436,-0.08461538461538462,0.0,-0.04409171075837742,-0.24074074074074073,-0.9555125725338491,-0.5436241610738255,0.0,0.0,0.0,0.0,-0.017770597738287562,-0.5807692307692308,0.0,-0.48623853211009177,0.0
TCGA-CS-4944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19106317411402157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6512455516014235,-0.1841860465116279,-0.05930470347648262,0.0,0.0,0.0,0.0,0.0,0.0,-0.003976143141153081,0.0,0.0,0.0,0.0,0.0,0.0,-0.9953379953379954,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-CS-5390,0.0,-0.0017123287671232876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033112582781456954,-0.9988137603795967,-0.9953488372093023,-0.0010224948875255625,0.0,-0.002702702702702703,0.0,0.0,0.0,0.0,-0.0019880715705765406,-0.001763668430335097,0.0,-0.562862669245648,0.0,-0.0027210884353741495,0.0,0.0,0.0,-0.0016155088852988692,0.0,0.0,0.0,0.0
TCGA-CS-5393,-0.05521472392638037,0.0,0.0,-0.0011961722488038277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32857142857142857,0.0,0.0,0.0,0.0,-0.0010224948875255625,0.0,0.0,0.0,-0.23554603854389722,0.0,0.0,0.0,0.0,0.0,-0.007736943907156673,0.0,0.0,0.0,0.0,-0.26644736842105265,0.0,0.0,0.0,-0.48623853211009177,0.0
TCGA-CS-5394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9501779359430605,-0.9637209302325581,0.0,0.0,-0.002702702702702703,0.0,0.0,0.0,0.0,0.0,-0.001763668430335097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-CS-5395,-1.0,-0.9982876712328768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2361963190184049,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019880715705765406,0.0,0.0,0.0,0.0,-0.0013605442176870747,0.0,0.0,0.0,0.0,0.0,0.0,-0.5871559633027523,-0.0017152658662092624
TCGA-CS-5396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.0033112582781456954,-0.9988137603795967,-0.9906976744186047,-0.05930470347648262,0.0,-0.002702702702702703,0.0,0.0,0.0,0.0,-0.0019880715705765406,0.0,0.0,-0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.02058319039451115
