,10p,10q,11p,11q,12p,12q,13q,14q,15q,16p,16q,17p,17q,18p,18q,19p,19q,1p,1q,20p,20q,21p,21q,22p,22q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q
TCGA-02-0003,-1.0,-0.9950248756218906,-0.005235602094240838,0.026365348399246705,-0.01891891891891892,0.04016477857878476,0.0,0.0,-0.9957627118644068,0.0,0.0020408163265306124,0.0,0.5263157894736842,0.0,0.0,0.015427769985974754,0.0,0.01882845188284519,0.008695652173913044,0.003875968992248062,0.02385685884691849,0.0,0.0,0.0,0.0032520325203252032,0.0,0.003734827264239029,0.048600883652430045,0.004895960832313341,0.0,0.008391608391608392,0.0,0.018849206349206348,-0.0012547051442910915,-0.6086235489220564,0.5736961451247166,1.0,-0.02168021680216802,0.011532125205930808,0.0,0.005115089514066497
TCGA-02-0033,-0.9926470588235294,-0.9751243781094527,-0.32460732984293195,-0.9698681732580038,0.0,0.0020597322348094747,-0.9900826446280991,-0.07317073170731707,0.028601694915254237,-0.03471074380165289,0.0020408163265306124,-0.9683972911963883,-0.9778393351800554,0.0,0.026936026936026935,-0.002805049088359046,-0.007714561234329798,0.01394700139470014,0.01818181818181818,0.003875968992248062,0.0,-1.0,0.0,0.0,0.0,0.0,0.0018674136321195146,0.0,0.0036719706242350062,0.028938906752411574,0.012587412587412588,0.004132231404958678,0.008928571428571428,-0.0075282308657465494,-0.001658374792703151,1.0,0.9928741092636579,0.08130081300813008,0.0,-0.019801980198019802,0.005115089514066497
TCGA-02-0047,0.0,-0.0024875621890547263,-0.9982547993019197,0.030131826741996232,-0.002702702702702703,0.007209062821833162,0.0,-0.9866962305986696,-0.934322033898305,-0.03305785123966942,-0.10204081632653061,-0.020316027088036117,0.44136657433056325,0.0,0.12457912457912458,0.0,-0.05303760848601736,0.006276150627615063,0.04110671936758893,0.003875968992248062,0.0,-0.09302325581395349,-0.44036697247706424,0.0,-0.0910569105691057,0.0029850746268656717,0.0009337068160597573,0.008836524300441826,0.9828641370869033,0.0,-0.004195804195804196,-0.012396694214876033,-0.000992063492063492,-0.11292346298619825,0.003316749585406302,0.024943310657596373,0.011876484560570071,-0.06233062330623306,0.0,-0.12211221122112212,-0.024296675191815855
TCGA-02-0055,-0.9926470588235294,-0.9975124378109452,-0.9930191972076788,-0.9745762711864406,-1.0,-1.0,-1.0,-0.9778270509977827,0.9427966101694916,-0.9900826446280991,-1.0,-1.0,-0.9963065558633426,-0.008849557522123894,0.0,-0.6914446002805049,-1.0,0.9211994421199442,0.6482213438735178,1.0,0.9920477137176938,-0.11627906976744186,0.9663608562691132,1.0,0.7609756097560976,-0.004477611940298508,-0.0009337068160597573,-0.6539027982326951,-0.9804161566707467,1.0,1.0,0.05785123966942149,-0.30357142857142855,0.479297365119197,0.006633499170812604,1.0,0.9928741092636579,0.8536585365853658,1.0,0.0858085808580858,0.020460358056265986
TCGA-02-2470,0.003676470588235294,0.0012437810945273632,0.017452006980802792,0.038606403013182675,-0.005405405405405406,-0.0010298661174047373,0.0,0.03991130820399113,-0.600635593220339,0.013223140495867768,-0.6979591836734694,0.009029345372460496,0.0,-0.9911504424778761,0.02356902356902357,0.016830294530154277,0.040501446480231434,0.07880055788005579,0.05612648221343874,0.003875968992248062,0.0,1.0,-0.0030581039755351682,0.0,-0.004878048780487805,0.007462686567164179,0.004668534080298786,0.035346097201767304,-0.0024479804161566705,0.04180064308681672,0.012587412587412588,0.0,0.001984126984126984,-0.002509410288582183,0.008291873963515755,1.0,0.997624703087886,0.0,-0.0016474464579901153,-0.07590759075907591,-0.9565217391304348
TCGA-02-2483,-0.8492647058823529,-0.9502487562189055,-0.5235602094240838,0.22033898305084745,0.13243243243243244,-0.012358393408856848,-0.7090909090909091,-0.6130820399113082,-0.3771186440677966,-0.07603305785123966,0.0020408163265306124,0.04966139954853273,-0.02123730378578024,0.24778761061946902,0.8316498316498316,0.514726507713885,0.3076181292189007,-0.3521617852161785,0.9525691699604744,0.6511627906976745,-0.13320079522862824,-1.0,0.009174311926605505,0.0,-0.7300813008130081,0.0014925373134328358,-0.12418300653594772,-0.5905743740795287,0.02692778457772338,-0.5755627009646302,-0.9146853146853147,-0.9834710743801653,-0.998015873015873,0.15432873274780426,-0.560530679933665,0.08616780045351474,0.26009501187648454,0.26558265582655827,1.0,-0.19801980198019803,0.5882352941176471
TCGA-02-2485,-1.0,-1.0,0.02268760907504363,-0.014124293785310734,0.0,-0.042224510813594233,-0.001652892561983471,0.03436807095343681,-0.001059322033898305,-0.2694214876033058,-0.036734693877551024,0.0,0.02677746999076639,0.08849557522123894,0.006734006734006734,1.0,0.9980713596914176,0.01603905160390516,-0.12806324110671938,-0.2713178294573643,-0.23856858846918488,-1.0,-0.26299694189602446,1.0,-0.26178861788617885,0.016417910447761194,-0.022408963585434174,-0.004418262150220913,0.006119951040391677,-0.8681672025723473,-0.9272727272727272,-0.004132231404958678,0.000992063492063492,-0.15181932245922208,0.011608623548922056,0.9954648526077098,0.997624703087886,0.01084010840108401,-0.04118616144975288,0.07260726072607261,-0.07289002557544758
TCGA-02-2486,-1.0,-1.0,0.0,0.026365348399246705,-0.002702702702702703,0.02265705458290422,0.009917355371900827,-0.29046563192904656,0.014830508474576272,-1.0,-1.0,-0.009029345372460496,-0.0018467220683287165,0.0,0.030303030303030304,0.0,0.0009643201542912247,-0.017433751743375175,0.0071146245059288534,0.003875968992248062,0.0,0.0,0.0061162079510703364,-1.0,-1.0,0.011940298507462687,0.003734827264239029,-0.930780559646539,0.012239902080783354,0.00964630225080386,0.009790209790209791,0.004132231404958678,0.00992063492063492,0.00878293601003764,0.014925373134328358,1.0,1.0,-0.994579945799458,-0.18945634266886327,-0.3201320132013201,-0.028132992327365727
TCGA-06-0119,-0.9411764705882353,-1.0,0.0034904013961605585,0.002824858757062147,0.002702702702702703,-0.02265705458290422,0.0,0.0,-0.3930084745762712,0.0,0.04693877551020408,0.024830699774266364,-0.4866112650046168,-0.017699115044247787,0.0,1.0,0.996142719382835,-0.043235704323570434,0.0023715415019762848,1.0,1.0,0.0,0.0030581039755351682,0.0,0.0016260162601626016,0.0,0.0,-0.0029455081001472753,-0.009791921664626682,0.02572347266881029,0.0013986013986013986,0.0,0.0,0.0012547051442910915,0.0,1.0,0.9928741092636579,-0.01084010840108401,0.0,-0.6534653465346535,-0.0038363171355498722
TCGA-06-0122,-1.0,-1.0,0.0,0.06308851224105462,0.010810810810810811,0.0,-1.0,-0.013303769401330377,-0.034957627118644065,0.0,0.0,0.033860045146726865,0.0018467220683287165,0.0,0.0,1.0,1.0,-0.06276150627615062,0.0007905138339920949,1.0,1.0,0.0,0.0,0.0,0.00975609756097561,0.005970149253731343,-0.0018674136321195146,-0.0029455081001472753,-0.004895960832313341,-0.003215434083601286,0.004195804195804196,-0.004132231404958678,-0.00496031746031746,-0.0012547051442910915,-0.4361525704809287,0.8390022675736961,0.13895486935866982,0.3170731707317073,-0.0032948929159802307,-0.9933993399339934,0.35805626598465473
