,7_GDC_hg19,10_GDC_hg19,EGFR_GDC_hg19,7_GDC_hg38,10_GDC_hg38,EGFR_GDC_hg38,7_UCSC_hg19,10_UCSC_hg19,EGFR_UCSC_hg19
TCGA-DB-A75P,0.0,-0.0010559662090813093,0.0,0.002338269680436477,-0.0009293680297397769,0.0,0.0,0.0,0.0
TCGA-DH-5140,0.0025996533795493936,-0.986272439281943,0.0,0.002338269680436477,-0.9860594795539034,0.0,0.002575107296137339,-0.9858156028368794,0.0
TCGA-DU-6392,0.9852686308492201,0.0,1.0,0.9859703819173812,0.0,1.0,0.984549356223176,0.0,1.0
TCGA-DU-6404,0.9896013864818024,-0.0337909186906019,1.0,0.9929851909586905,-0.020446096654275093,1.0,0.9991416309012876,0.0,1.0
TCGA-DU-A7TB,0.0017331022530329288,-0.0010559662090813093,0.0,0.00779423226812159,-0.0009293680297397769,0.0,0.0,0.0,0.0
TCGA-DU-A7TG,0.0025996533795493936,0.0,0.0,0.000779423226812159,-0.0027881040892193307,0.0,0.0,0.0,0.0
TCGA-E1-A7YY,0.0,-0.02006335797254488,0.0,0.0,-0.011152416356877323,0.0,0.0,0.0,0.0
TCGA-FG-5963,0.13344887348353554,0.0,0.0,0.18472330475448168,0.0,1.0,0.04377682403433476,0.0,2.0
TCGA-FG-8181,0.010398613518197574,-0.004223864836325237,0.0,0.004676539360872954,-0.007434944237918215,0.0,0.0,0.0,0.0
TCGA-FG-8189,0.0,0.0,0.0,0.0,-0.013940520446096654,0.0,0.0,0.0,0.0
TCGA-HT-7469,0.006065857885615251,-0.6230200633579726,0.0,0.09353078721745908,-0.5985130111524164,0.0,0.0,-0.45997973657548125,0.0
TCGA-HT-7680,0.00779896013864818,-0.03167898627243928,0.0,0.004676539360872954,-0.01858736059479554,0.0,0.0,0.0,0.0
TCGA-HT-7691,0.0389948006932409,0.0,0.0,0.05144193296960249,-0.0009293680297397769,0.0,0.020600858369098713,0.0,0.0
TCGA-HT-7857,0.0017331022530329288,-0.37697993664202745,0.0,0.001558846453624318,-0.37825278810408924,0.0,0.0,-1.0,0.0
TCGA-HT-8015,0.012998266897746967,-0.006335797254487857,0.0,0.011691348402182385,-0.0009293680297397769,0.0,0.0,0.0,0.0
TCGA-HT-8107,0.0034662045060658577,-0.004223864836325237,0.0,0.002338269680436477,-0.0018587360594795538,0.0,0.0,0.0,0.0
TCGA-HT-8113,0.0025996533795493936,-0.026399155227032733,0.0,0.002338269680436477,-0.015799256505576207,0.0,0.0,0.0,0.0
TCGA-P5-A5EY,0.004332755632582322,-0.012671594508975714,0.0,0.006235385814497272,-0.0055762081784386614,0.0,0.0,0.0,0.0
TCGA-P5-A5F6,0.014731369150779897,-0.0010559662090813093,-1.0,0.3289166017147311,-0.0037174721189591076,-1.0,0.0,0.0,-1.0
TCGA-S9-A6UA,0.01733102253032929,-0.27455121436114044,0.0,0.017926734216679657,-0.25092936802973975,0.0,0.0,-0.6605876393110436,0.0
TCGA-S9-A6WI,0.0017331022530329288,-0.0010559662090813093,0.0,0.001558846453624318,-0.0055762081784386614,0.0,0.0,0.0,0.0
TCGA-S9-A89V,0.0008665511265164644,-0.2375923970432946,0.0,0.002338269680436477,-0.25092936802973975,0.0,0.0008583690987124463,-0.24518743667679838,0.0
TCGA-TM-A84C,0.0,-0.0010559662090813093,0.0,0.003117692907248636,-0.0018587360594795538,0.0,0.0,0.0,0.0
TCGA-TM-A84J,0.006932409012131715,-0.9683210137275607,0.0,0.007014809041309431,-0.9711895910780669,0.0,0.0,-0.9766970618034447,0.0
TCGA-VM-A8C9,0.0,-0.0021119324181626186,0.0,0.0,-0.004646840148698885,0.0,0.0,0.0,0.0
TCGA-VM-A8CD,0.008665511265164644,-1.0,0.0,0.010132501948558068,-1.0,0.0,0.0,-1.0,0.0
