,1p_GDC_hg19,1q_GDC_hg19,19p_GDC_hg19,19q_GDC_hg19,1p_GDC_hg38,1q_GDC_hg38,19p_GDC_hg38,19q_GDC_hg38,1p_UCSC_hg19,1q_UCSC_hg19,19p_UCSC_hg19,19q_UCSC_hg19
TCGA-02-0003,-0.0031720856463124504,-0.0008628127696289905,0.0,0.0,0.0,-0.003952569169960474,0.0,0.0,0.0,0.0,0.0,-0.001072961373390558
TCGA-02-0033,-0.0007930214115781126,-0.0008628127696289905,-0.002932551319648094,-0.0029211295034079843,-0.000697350069735007,-0.0007905138339920949,-0.002805049088359046,-0.008678881388621022,0.0,0.0,0.0,0.0
TCGA-02-0047,-0.010309278350515464,-0.003451251078515962,0.0,-0.04965920155793573,-0.009762900976290097,-0.0031620553359683794,0.0,-0.05978784956605593,-0.009244992295839754,0.0,0.0,0.0
TCGA-02-0055,-0.006344171292624901,-0.0025884383088869713,-0.5762463343108505,-1.0,-0.010460251046025104,-0.015019762845849802,-0.6914446002805049,-1.0,0.0,0.0,-1.0,-0.9989270386266095
TCGA-02-2470,-0.0007930214115781126,-0.005176876617773943,-0.001466275659824047,0.0,-0.0041841004184100415,-0.0047430830039525695,-0.001402524544179523,0.0,0.0,0.0,0.0,0.0
TCGA-02-2483,-0.34972244250594764,-0.008628127696289905,-0.001466275659824047,0.0,-0.41841004184100417,-0.003952569169960474,-0.001402524544179523,-0.009643201542912247,-0.5755007704160247,-0.0008396305625524769,0.0,-0.001072961373390558
TCGA-02-2485,-0.004758128469468675,-0.060396893874029335,0.0,-0.0019474196689386564,-0.002789400278940028,-0.15177865612648223,0.0,-0.0009643201542912247,-0.0015408320493066256,-0.06297229219143577,-0.001483679525222552,0.0
TCGA-02-2486,-0.019825535289452814,-0.011216566005176877,0.0,-0.0009737098344693282,-0.022315202231520222,-0.011067193675889328,0.0,-0.0009643201542912247,-0.01926040061633282,-0.0008396305625524769,0.0,0.0
TCGA-06-0119,0.0,-0.0008628127696289905,0.0,0.0,-0.044630404463040445,-0.0007905138339920949,0.0,-0.0019286403085824494,0.0,0.0,0.0,0.0
TCGA-06-0122,-0.0753370340999207,0.0,0.0,0.0,-0.09832635983263599,0.0,0.0,0.0,-0.07858243451463791,0.0,0.0,0.0
TCGA-06-0124,-0.05075337034099921,-0.014667817083692839,-0.008797653958944282,0.0,-0.0599721059972106,-0.021343873517786563,-0.012622720897615708,0.0,-0.054699537750385205,0.0,0.0,0.0
TCGA-06-0125,-0.05154639175257732,-0.011216566005176877,0.0,-0.0019474196689386564,-0.0502092050209205,-0.0015810276679841897,0.0,-0.0019286403085824494,0.0,0.0,0.0,0.0
TCGA-06-0126,-0.0317208564631245,-0.24158757549611734,0.0,-0.0009737098344693282,-0.0299860529986053,-0.2624505928853755,0.0,-0.0009643201542912247,-0.08166409861325115,-0.25272879932829556,0.0,0.0
TCGA-06-0128,-0.006344171292624901,0.0,0.0,-0.013631937682570594,-0.010460251046025104,0.0,0.0,-0.01446480231436837,0.0,0.0,0.0,0.0
TCGA-06-0129,-0.03013481363996828,-0.008628127696289905,-0.002932551319648094,0.0,-0.02580195258019526,-0.007905138339920948,-0.05890603085553997,0.0,0.0,0.0,0.0,0.0
TCGA-06-0130,-0.011895321173671689,-0.008628127696289905,0.0,0.0,-0.014644351464435146,-0.0031620553359683794,0.0,0.0,-0.0015408320493066256,0.0,0.0,-0.001072961373390558
TCGA-06-0132,-0.14591593973037273,-0.003451251078515962,0.0,0.0,-0.05718270571827057,-0.003952569169960474,0.0,-0.3240115718418515,0.0,0.0,0.0,-0.5472103004291845
TCGA-06-0137,-0.06582077716098335,-0.004314063848144953,0.0,-0.03018500486854917,-0.06624825662482567,-0.003952569169960474,0.0,-0.02892960462873674,-0.06933744221879815,0.0,0.0,-0.018240343347639486
TCGA-06-0139,-0.0015860428231562252,0.0,0.0,-0.005842259006815969,-0.001394700139470014,0.0,0.0,-0.0057859209257473485,0.0,0.0,0.0,0.0
TCGA-06-0140,0.0,-0.005176876617773943,-0.002932551319648094,-0.0019474196689386564,-0.00697350069735007,-0.0047430830039525695,-0.004207573632538569,-0.0019286403085824494,0.0,0.0,0.0,0.0
TCGA-06-0141,-0.0015860428231562252,-0.007765314926660914,-0.002932551319648094,0.0,-0.01882845188284519,-0.03636363636363636,-0.001402524544179523,0.0,0.0,0.0,0.0,-0.001072961373390558
TCGA-06-0142,-0.0007930214115781126,-0.0025884383088869713,0.0,0.0,-0.01882845188284519,-0.0023715415019762848,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-06-0145,-0.0023790642347343376,-0.004314063848144953,0.0,-0.0019474196689386564,-0.002789400278940028,-0.0047430830039525695,0.0,-0.0019286403085824494,0.0,-0.0025188916876574307,0.0,0.0
TCGA-06-0151,-0.04440919904837431,-0.001725625539257981,-0.001466275659824047,-0.0019474196689386564,-0.022315202231520222,-0.017391304347826087,-0.001402524544179523,-0.0019286403085824494,0.0,0.0,0.0,0.0
TCGA-06-0152,-0.0031720856463124504,-0.06902502157031924,0.0,-0.3602726387536514,-0.003486750348675035,-0.07351778656126483,0.0,-0.3674059787849566,0.0,-0.0654911838790932,0.0,-0.35085836909871243
TCGA-06-0154,-0.0055511498810467885,-0.005176876617773943,-0.008797653958944282,0.0,-0.008368200836820083,-0.0071146245059288534,0.0,0.0,0.0,0.0,0.0,-0.001072961373390558
TCGA-06-0155,-0.011895321173671689,-0.008628127696289905,0.0,0.0,-0.00906555090655509,-0.008695652173913044,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-06-0157,-0.0055511498810467885,-0.001725625539257981,0.0,0.0,-0.016736401673640166,-0.0015810276679841897,0.0,0.0,0.0,0.0,-0.15875370919881307,0.0
TCGA-06-0158,-0.026169706582077717,-0.005176876617773943,0.0,-0.0038948393378773127,-0.026499302649930265,-0.005533596837944664,0.0,-0.003857280617164899,-0.026194144838212634,0.0,0.0,0.0
TCGA-06-0165,-0.0015860428231562252,0.0,0.0,0.0,-0.01882845188284519,-0.0031620553359683794,0.0,-0.0019286403085824494,0.0,0.0,0.0,0.0
TCGA-06-0166,-0.19349722442505948,-0.005176876617773943,0.0,0.0,-0.24616457461645747,-0.009486166007905139,0.0,0.0,-0.17565485362095531,0.0,0.0,-0.001072961373390558
TCGA-06-0168,-0.3917525773195876,-0.003451251078515962,0.0,-0.0009737098344693282,-0.38563458856345884,-0.0023715415019762848,0.0,-0.0009643201542912247,-0.40446841294298924,0.0,0.0,0.0
TCGA-06-0169,-0.06502775574940524,-0.0008628127696289905,0.0,-0.0798442064264849,-0.06764295676429567,-0.003952569169960474,0.0,-0.08486017357762778,-0.07087827426810478,0.0,0.0,-0.07939914163090128
TCGA-06-0171,-0.3766851704996035,-0.006902502157031924,-0.002932551319648094,-0.0029211295034079843,-0.3723849372384937,-0.010276679841897233,-0.002805049088359046,-0.0028929604628736743,-0.3682588597842835,0.0,0.0,0.0
TCGA-06-0173,-0.02696272799365583,-0.02070750647109577,0.0,0.0,-0.09065550906555091,-0.018972332015810278,0.0,0.0,-0.0030816640986132513,0.0,0.0,0.0
TCGA-06-0174,-0.0007930214115781126,-0.012942191544434857,0.0,0.0,-0.001394700139470014,-0.013438735177865613,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-06-0184,-0.09754163362410785,-0.0025884383088869713,0.0,-0.0038948393378773127,-0.09553695955369595,-0.003952569169960474,0.0,-0.054966248794599805,-0.11787365177195686,0.0,0.0,-0.001072961373390558
TCGA-06-0185,0.0,-0.003451251078515962,0.0,-0.0009737098344693282,-0.02510460251046025,-0.020553359683794466,0.0,-0.0009643201542912247,0.0,0.0,0.0,-0.001072961373390558
TCGA-06-0187,0.0,-0.021570319240724764,-0.002932551319648094,0.0,0.0,-0.019762845849802372,-0.002805049088359046,0.0,0.0,0.0,0.0,-0.001072961373390558
TCGA-06-0188,-0.11102299762093576,-0.001725625539257981,0.0,0.0,-0.09693165969316597,-0.0007905138339920949,0.0,0.0,-0.08936825885978428,-0.0008396305625524769,0.0,0.0
TCGA-06-0189,-0.0031720856463124504,-0.009490940465918895,-0.001466275659824047,-0.0009737098344693282,-0.05718270571827057,-0.012648221343873518,-0.001402524544179523,-0.0019286403085824494,0.0,-0.0016792611251049538,0.0,0.0
TCGA-06-0190,-0.11578112609040445,-0.05090595340811044,0.0,0.0,-0.11645746164574616,-0.05533596837944664,0.0,0.0,-0.10708782742681047,-0.052057094878253565,0.0,0.0
TCGA-06-0192,-0.03885804916732752,-0.005176876617773943,-0.002932551319648094,0.0,-0.04602510460251046,-0.005533596837944664,-0.002805049088359046,0.0,-0.03543913713405239,0.0,0.0,-0.001072961373390558
TCGA-06-0195,-0.11657414750198256,-0.004314063848144953,0.0,-0.004868549172346641,-0.11227336122733612,-0.0031620553359683794,-0.043478260869565216,-0.010607521697203472,-0.0970724191063174,0.0,0.0,0.0
TCGA-06-0209,0.0,-0.007765314926660914,0.0,0.0,-0.016736401673640166,-0.0071146245059288534,0.0,0.0,0.0,-0.005877413937867338,0.0,-0.001072961373390558
TCGA-06-0210,-0.004758128469468675,-0.0025884383088869713,0.0,-0.0009737098344693282,-0.012552301255230125,-0.0023715415019762848,0.0,-0.011571841851494697,0.0,0.0,0.0,0.0
TCGA-06-0211,-0.00951625693893735,-0.0008628127696289905,0.0,0.0,-0.01394700139470014,-0.0023715415019762848,0.0,-0.0009643201542912247,0.0,0.0,0.0,0.0
TCGA-06-0213,-0.0055511498810467885,-0.004314063848144953,-0.18181818181818182,0.0,-0.010460251046025104,-0.0031620553359683794,-0.18513323983169705,0.0,0.0,0.0,-0.17359050445103857,0.0
TCGA-06-0214,-0.004758128469468675,-0.007765314926660914,0.0,0.0,-0.02092050209205021,-0.007905138339920948,0.0,0.0,-0.0007704160246533128,0.0,0.0,-0.001072961373390558
TCGA-06-0216,-0.01586042823156225,-0.009490940465918895,0.0,-0.0029211295034079843,-0.0048814504881450485,-0.009486166007905139,0.0,-0.0028929604628736743,0.0,-0.007556675062972292,0.0,-0.001072961373390558
TCGA-06-0219,-0.02458366375892149,-0.005176876617773943,-0.002932551319648094,-0.0009737098344693282,-0.02789400278940028,-0.011857707509881422,-0.002805049088359046,-0.0009643201542912247,-0.02234206471494607,0.0,0.0,-0.001072961373390558
TCGA-06-0221,-0.0007930214115781126,-0.031061259706643658,-0.011730205278592375,-0.0029211295034079843,-0.000697350069735007,-0.02924901185770751,-0.014025245441795231,-0.0028929604628736743,0.0,0.0,0.0,0.0
TCGA-06-0237,-0.0007930214115781126,-0.0060396893874029335,0.0,-0.3252190847127556,-0.0020920502092050207,-0.005533596837944664,0.0,-0.33076181292189005,-0.0015408320493066256,0.0,0.0,-0.3165236051502146
TCGA-06-0238,-0.007137192704203013,-0.06471095772217429,0.0,0.0,-0.016736401673640166,-0.06956521739130435,0.0,0.0,0.0,-0.06801007556675064,0.0,0.0
TCGA-06-0240,0.0,-0.006902502157031924,0.0,0.0,-0.017433751743375175,-0.012648221343873518,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-06-0241,-0.0015860428231562252,-0.0025884383088869713,0.0,-0.0038948393378773127,-0.02580195258019526,-0.0071146245059288534,0.0,-0.003857280617164899,-0.0023112480739599386,0.0,0.0,0.0
TCGA-06-0644,-0.1252973830293418,-0.012942191544434857,0.0,-0.0019474196689386564,-0.13737796373779637,-0.0023715415019762848,0.0,-0.0019286403085824494,-0.12480739599383667,-0.060453400503778336,0.0,-0.001072961373390558
TCGA-06-0645,-0.0007930214115781126,-0.005176876617773943,0.0,-0.004868549172346641,-0.000697350069735007,-0.0047430830039525695,0.0,-0.0048216007714561235,0.0,0.0,0.0,0.0
TCGA-06-0646,-0.003965107057890563,-0.0060396893874029335,0.0,0.0,-0.12133891213389121,-0.013438735177865613,0.0,0.0,-0.003852080123266564,0.0,0.0,-0.001072961373390558
TCGA-06-0648,-0.007137192704203013,-0.0025884383088869713,0.0,-0.0038948393378773127,-0.006276150627615063,-0.0015810276679841897,0.0,-0.003857280617164899,0.0,0.0,0.0,0.0
TCGA-06-0649,-0.06502775574940524,-0.7394305435720449,0.0,-0.308666017526777,-0.06764295676429567,-0.7343873517786561,0.0,-0.2777242044358727,-0.04776579352850539,0.0,0.0,-0.06866952789699571
TCGA-06-0650,-0.010309278350515464,-0.012079378774805867,0.0,-0.005842259006815969,-0.008368200836820083,-0.0031620553359683794,0.0,-0.0057859209257473485,0.0,0.0,0.0,0.0
TCGA-06-0686,-0.008723235527359239,-0.001725625539257981,0.0,0.0,-0.016736401673640166,-0.0015810276679841897,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-06-0743,-0.6185567010309279,-0.6954270923209663,0.0,-0.0009737098344693282,-0.5704323570432357,-0.3130434782608696,0.0,-0.0009643201542912247,-0.6448382126348228,0.0,0.0,0.0
TCGA-06-0744,-0.0190325138778747,-0.001725625539257981,0.0,-0.0019474196689386564,-0.14225941422594143,-0.0015810276679841897,0.0,-0.0019286403085824494,0.0,0.0,0.0,0.0
TCGA-06-0745,-0.3370340999206979,-0.009490940465918895,-0.002932551319648094,-0.7400194741966893,-0.3410041841004184,-0.006324110671936759,-0.014025245441795231,-0.7203471552555448,-0.33281972265023113,0.0,0.0,-0.7103004291845494
TCGA-06-0747,-0.2141157811260904,-0.0008628127696289905,0.0,-0.007789678675754625,-0.21827057182705717,-0.0007905138339920949,0.0,-0.007714561234329798,-0.2103235747303544,0.0,0.0,0.0
TCGA-06-0749,-0.0031720856463124504,-0.007765314926660914,-0.001466275659824047,-0.0009737098344693282,-0.0020920502092050207,-0.017391304347826087,-0.001402524544179523,-0.0009643201542912247,-0.0015408320493066256,0.0,0.0,0.0
TCGA-06-0750,-0.0015860428231562252,-0.0181190681622088,0.0,-0.0029211295034079843,-0.001394700139470014,-0.015810276679841896,0.0,-0.003857280617164899,-0.0015408320493066256,-0.018471872376154493,0.0,-0.001072961373390558
TCGA-06-0875,-0.01823949246629659,-0.010353753235547885,-1.0,-1.0,-0.016736401673640166,-0.013438735177865613,-1.0,-1.0,0.0,-0.0109151973131822,-1.0,-0.9989270386266095
TCGA-06-0876,-0.0023790642347343376,-0.01639344262295082,-0.18328445747800587,-0.013631937682570594,-0.020223152022315203,-0.010276679841897233,-0.18373071528751753,-0.01639344262295082,0.0,0.0,-0.18694362017804153,-0.009656652360515022
TCGA-06-0877,-0.00951625693893735,-0.0060396893874029335,0.0,0.0,-0.008368200836820083,-0.006324110671936759,0.0,-0.0048216007714561235,0.0,0.0,0.0,0.0
TCGA-06-0878,-0.10467882632831087,-0.0060396893874029335,0.0,-0.32327166504381694,-0.11227336122733612,-0.0047430830039525695,0.0,-0.3365477338476374,-0.12249614791987673,0.0,0.0,-0.3229613733905579
TCGA-06-0879,-0.08564631245043616,-0.0060396893874029335,0.0,0.0,-0.08507670850767085,-0.0015810276679841897,0.0,0.0,-0.12403697996918336,0.0,0.0,0.0
TCGA-06-0881,-0.11657414750198256,-0.008628127696289905,0.0,-0.373904576436222,-0.09902370990237098,-0.0071146245059288534,0.0,-0.11089681774349083,0.0,0.0,0.0,0.0
TCGA-06-0882,-0.00951625693893735,-0.006902502157031924,-0.002932551319648094,-0.24245374878286272,-0.013249651324965132,-0.0047430830039525695,-0.004207573632538569,-0.24493731918997108,-0.00539291217257319,0.0,0.0,-0.23068669527896996
TCGA-06-0939,-0.007137192704203013,-0.006902502157031924,-0.002932551319648094,-0.0009737098344693282,-0.013249651324965132,-0.21976284584980238,-0.002805049088359046,0.0,0.0,0.0,0.0,0.0
TCGA-06-1804,-0.05154639175257732,-0.025021570319240724,0.0,-0.007789678675754625,-0.13528591352859135,-0.022134387351778657,0.0,0.0,-0.05084745762711865,-0.006717044500419815,0.0,0.0
TCGA-06-1806,-0.03013481363996828,-0.001725625539257981,0.0,0.0,-0.1101813110181311,-0.0015810276679841897,-0.012622720897615708,0.0,0.0,-0.41141897565071367,0.0,-0.003218884120171674
TCGA-06-2557,0.0,0.0,0.0,-0.0019474196689386564,0.0,0.0,0.0,-0.0019286403085824494,0.0,0.0,0.0,-0.001072961373390558
TCGA-06-2558,-0.019825535289452814,-0.12338222605694564,-0.002932551319648094,0.0,-0.003486750348675035,-0.18498023715415018,-0.002805049088359046,0.0,-0.0007704160246533128,-0.2611251049538203,0.0,0.0
TCGA-06-2559,-0.0007930214115781126,-0.003451251078515962,-0.002932551319648094,-0.0009737098344693282,-0.07531380753138076,-0.0031620553359683794,-0.002805049088359046,-0.003857280617164899,0.0,0.0,0.0,0.0
TCGA-06-2561,-0.09674861221252974,-0.004314063848144953,-0.10557184750733138,-1.0,-0.09832635983263599,-0.003952569169960474,-0.1150070126227209,-1.0,-0.10939907550077041,0.0,-0.10979228486646884,-1.0
TCGA-06-2562,-0.2846946867565424,-0.007765314926660914,-0.002932551319648094,-0.06134371957156767,-0.25453277545327757,-0.0071146245059288534,-0.002805049088359046,-0.06171648987463838,-0.2542372881355932,0.0,0.0,-0.0536480686695279
TCGA-06-2563,-0.0055511498810467885,-0.013805004314063849,0.0,-0.0009737098344693282,-0.021617852161785217,-0.020553359683794466,0.0,-0.0009643201542912247,0.0,0.0,0.0,-0.1759656652360515
TCGA-06-2564,-0.0007930214115781126,-0.004314063848144953,0.0,-0.0009737098344693282,-0.000697350069735007,-0.003952569169960474,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-06-2565,-0.2640761300555115,-0.001725625539257981,0.0,-0.0038948393378773127,-0.301255230125523,-0.0015810276679841897,0.0,-0.007714561234329798,-0.13944530046224962,0.0,0.0,0.0
