,umap1,umap2
TCGA-02-0003,4.68853,12.805598
TCGA-02-0033,5.129822,12.315079
TCGA-02-0047,-0.91870415,13.015804
TCGA-02-0055,5.8460884,11.231685
TCGA-02-2470,3.891931,13.087134
TCGA-02-2483,1.2311093,11.9515915
TCGA-02-2485,8.160977,11.457415
TCGA-02-2486,5.3438077,13.4930725
TCGA-06-0119,8.162797,9.907964
TCGA-06-0122,8.106434,9.38355
TCGA-06-0124,6.9017234,11.953613
TCGA-06-0125,8.138109,9.76995
TCGA-06-0126,8.084673,9.593026
TCGA-06-0128,3.8604903,12.715819
TCGA-06-0129,4.0872345,11.8933115
TCGA-06-0130,5.3966966,11.686945
TCGA-06-0132,4.023859,13.075869
TCGA-06-0137,7.987964,9.606591
TCGA-06-0139,4.40712,13.370371
TCGA-06-0140,5.503163,13.356867
TCGA-06-0141,4.9639406,11.433265
TCGA-06-0142,-0.78289646,12.374717
TCGA-06-0145,8.161096,11.942953
TCGA-06-0151,7.5964613,9.808817
TCGA-06-0152,6.011801,10.988412
TCGA-06-0154,6.7019567,9.553765
TCGA-06-0155,8.22815,11.683536
TCGA-06-0157,8.080667,9.767346
TCGA-06-0158,8.290858,9.26971
TCGA-06-0165,-0.6604615,13.1068945
TCGA-06-0166,5.4044623,11.7303
TCGA-06-0168,6.0732703,11.041989
TCGA-06-0169,5.7142353,9.84676
TCGA-06-0171,5.5530643,10.141007
TCGA-06-0173,7.6675773,9.3999195
TCGA-06-0174,7.552201,11.346543
TCGA-06-0184,5.262364,12.193676
TCGA-06-0185,8.282017,9.29468
TCGA-06-0187,4.7372212,12.84094
TCGA-06-0188,5.843589,12.057708
TCGA-06-0189,5.609097,10.230113
TCGA-06-0190,7.793553,11.268322
TCGA-06-0192,6.882473,10.843963
TCGA-06-0195,6.1565433,10.951442
TCGA-06-0209,7.372857,10.306122
TCGA-06-0210,4.037434,13.047601
TCGA-06-0211,7.808458,9.861821
TCGA-06-0213,4.937152,13.266995
TCGA-06-0214,4.6079783,11.783544
TCGA-06-0216,6.6634364,10.766648
TCGA-06-0219,4.1933103,11.510761
TCGA-06-0221,3.7347946,11.573894
TCGA-06-0237,6.1220994,11.090617
TCGA-06-0238,5.803894,12.851752
TCGA-06-0240,-1.0659142,13.193645
TCGA-06-0241,4.460998,12.270362
TCGA-06-0644,5.2753906,11.829149
TCGA-06-0645,7.7775307,10.931949
TCGA-06-0646,4.691369,12.297233
TCGA-06-0648,5.4063287,12.769178
TCGA-06-0649,5.406627,11.641539
TCGA-06-0650,8.204133,11.802204
