Gene Symbol,Locus ID,Cytoband,chr,chr_arm
DDX11L1|chr1,100287102,1p36.33,1,1p
FAM138A|chr1,645520,1p36.33,1,1p
FAM138F|chr1,641702,1p36.33,1,1p
OR4F5,79501,1p36.33,1,1p
WASH7P,653635,1p36.33,1,1p
hsa-mir-1302-2,-585,1p36.33,1,1p
LOC729737,729737,1p36.33,1,1p
LOC100132062|chr1,100132062,1p36.33,1,1p
LOC100132287|chr1,100132287,1p36.33,1,1p
LOC100133331|chr1,100133331,1p36.33,1,1p
OR4F16|chr1,81399,1p36.33,1,1p
OR4F29|chr1,729759,1p36.33,1,1p
OR4F3|chr1,26683,1p36.33,1,1p
LOC100288069,100288069,1p36.33,1,1p
LINC00115,79854,1p36.33,1,1p
LOC643837,643837,1p36.33,1,1p
FAM41C,284593,1p36.33,1,1p
LOC100130417,100130417,1p36.33,1,1p
SAMD11,148398,1p36.33,1,1p
NOC2L,26155,1p36.33,1,1p
KLHL17,339451,1p36.33,1,1p
PLEKHN1,84069,1p36.33,1,1p
C1orf170,84808,1p36.33,1,1p
HES4,57801,1p36.33,1,1p
ISG15,9636,1p36.33,1,1p
AGRN,375790,1p36.33,1,1p
RNF223,401934,1p36.33,1,1p
C1orf159,54991,1p36.33,1,1p
LOC254099,254099,1p36.33,1,1p
MIR200A,406983,1p36.33,1,1p
MIR200B,406984,1p36.33,1,1p
MIR429,554210,1p36.33,1,1p
TTLL10,254173,1p36.33,1,1p
hsa-mir-200a,-593,1p36.33,1,1p
hsa-mir-200b,-593,1p36.33,1,1p
hsa-mir-429,-593,1p36.33,1,1p
TNFRSF18,8784,1p36.33,1,1p
TNFRSF4,7293,1p36.33,1,1p
SDF4,51150,1p36.33,1,1p
B3GALT6,126792,1p36.33,1,1p
FAM132A,388581,1p36.33,1,1p
UBE2J2,118424,1p36.33,1,1p
SCNN1D,6339,1p36.33,1,1p
ACAP3,116983,1p36.33,1,1p
PUSL1,126789,1p36.33,1,1p
CPSF3L,54973,1p36.33,1,1p
GLTPD1,80772,1p36.33,1,1p
DVL1,1855,1p36.33,1,1p
TAS1R3,83756,1p36.33,1,1p
MXRA8,54587,1p36.33,1,1p
AURKAIP1,54998,1p36.33,1,1p
CCNL2,81669,1p36.33,1,1p
LOC148413,148413,1p36.33,1,1p
MRPL20,55052,1p36.33,1,1p
ANKRD65,441869,1p36.33,1,1p
TMEM88B,643965,1p36.33,1,1p
