,10p,10q,11p,11q,12p,12q,13q,14q,15q,16p,16q,17p,17q,18p,18q,19p,19q,1p,1q,20p,20q,21p,21q,22q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q
GLSS-NS-0001-TP-01D-WGS-5A5UN4,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.029411764705882353,0.0
GLSS-HK-0005-TP-01D-WGS-9DKW7W,0.0,0.0,-0.9557692307692308,0.0,0.0,0.0,-1.0,-0.014302741358760428,-0.028402366863905324,0.0,0.0,-0.7334963325183375,0.0,0.4431818181818182,0.0,-0.002932551319648094,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.374113475177305,0.0,-0.04118268215417107,0.0,0.0,0.0,-0.15639810426540285,0.0,-0.6758938869665513,0.0,0.0,0.4973958333333333,0.825974025974026,1.0,1.0,0.0,0.0
GLSS-HK-0003-TP-01D-WGS-WAGBN9,-1.0,-1.0,0.0,0.0,0.0,0.0,-0.44655581947743467,0.0,-0.028402366863905324,0.0,0.0,-1.0,-1.0,0.0,0.0,0.15102639296187684,0.034079844206426485,0.0,0.0,-1.0,-1.0,0.0,0.0,-0.6276595744680851,0.0,0.0,0.0,-0.16005873715124816,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.7327327327327328,0.0,0.0,0.0
GLSS-SF-0001-TP-01D-WXS-F99505,0.0,-0.2967032967032967,-0.19423076923076923,-0.04041450777202073,0.0,-0.4600231749710313,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.11363636363636363,0.0,0.0,-0.9883154819863681,0.0,0.0,0.0,-0.19693654266958424,-1.0,-1.0,0.0,0.0,0.0,0.0,-0.7562408223201175,0.0,0.0,0.0,-0.0853517877739331,0.9090909090909091,-1.0,0.0,0.0,0.0,-0.2332695984703633,0.0,0.0
GLSS-SF-0002-TP-01D-WXS-EC52GX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2840909090909091,0.0,0.0,-0.7400194741966893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41941747572815535,0.0,0.6818181818181818,0.0,0.0,0.0,0.0
GLSS-SF-0004-TP-01D-WXS-78O1ND,0.0,0.0,-0.38653846153846155,0.0,0.0,0.0,-0.39429928741092635,0.014302741358760428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06309751434034416,-0.025735294117647058,0.0
GLSS-SF-0005-TP-01D-WXS-0TWD9H,1.0,-0.0260989010989011,-1.0,-0.00932642487046632,0.6775147928994083,0.0,0.0,0.014302741358760428,0.0,-0.03296703296703297,0.0,0.0,-0.0010152284263959391,0.0,-0.0392156862745098,0.7551319648093842,-1.0,-0.017446471054718478,0.025021570319240724,-0.29017857142857145,-0.10940919037199125,0.0,0.0,-0.950354609929078,0.0,-0.20591341077085534,0.0,0.0,0.28363636363636363,-0.4107424960505529,0.0,-0.6205305651672434,0.0,0.0,1.0,1.0,0.0,0.9961759082217974,-1.0,-0.12100139082058414
GLSS-SF-0006-TP-01D-WXS-DPZUQR,0.0,0.0,0.05576923076923077,0.0,0.0,-0.013904982618771726,0.0,-0.05959475566150179,0.0,-0.08608058608058608,-0.047058823529411764,0.0,0.007106598984771574,0.0,0.0,-0.5190615835777126,-0.9328140214216164,-0.9476605868358445,-0.01984469370146678,-0.3482142857142857,-0.0962800875273523,0.0,-0.04067796610169491,-0.20567375886524822,0.0,0.0,0.0,0.0,0.0,0.0,0.11229946524064172,0.0,0.0,0.0,-0.0546875,0.0,0.0,0.019120458891013385,0.0,-0.07232267037552156
GLSS-SF-0007-TP-01D-WXS-HSNHN7,0.0,0.0,0.0,0.33575129533678755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.9882697947214076,0.0,0.0,-0.003451251078515962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,-0.5281553398058253,0.036458333333333336,1.0,1.0,1.0,0.0,0.0
GLSS-SF-0008-TP-01D-WXS-9702S9,0.0,-0.2692307692307692,-0.8134615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002932551319648094,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.061246040126715945,0.0,0.0,0.0,-0.6382306477093207,-0.5133689839572193,-0.26412918108419836,0.0,0.0,0.0,0.9545454545454546,0.0,0.0,0.0,0.0
