,start,end,chr,karyo_band,chr_arm,numeric_chr,cytoband,geneID,geneIDversion
ACAP3,1227756.0,1244989.0,1,1p36.33,1p,1,p36.33,ENSG00000131584,ENSG00000131584.14
ACTRT2,2938046.0,2939465.0,1,1p36.32,1p,1,p36.32,ENSG00000169717,ENSG00000169717.5
AGRN,955503.0,991496.0,1,1p36.33,1p,1,p36.33,ENSG00000188157,ENSG00000188157.9
ANKRD65,1353800.0,1357149.0,1,1p36.33,1p,1,p36.33,ENSG00000235098,ENSG00000235098.4
ATAD3A,1447531.0,1470067.0,1,1p36.33,1p,1,p36.33,ENSG00000197785,ENSG00000197785.9
ATAD3B,1407143.0,1433228.0,1,1p36.33,1p,1,p36.33,ENSG00000160072,ENSG00000160072.15
ATAD3C,1385069.0,1405538.0,1,1p36.33,1p,1,p36.33,ENSG00000215915,ENSG00000215915.5
AURKAIP1,1309110.0,1310875.0,1,1p36.33,1p,1,p36.33,ENSG00000175756,ENSG00000175756.9
B3GALT6,1167629.0,1170421.0,1,1p36.33,1p,1,p36.33,ENSG00000176022,ENSG00000176022.3
C1orf159,1017198.0,1051741.0,1,1p36.33,1p,1,p36.33,ENSG00000131591,ENSG00000131591.13
C1orf170,910579.0,917497.0,1,1p36.33,1p,1,p36.33,ENSG00000187642,ENSG00000187642.5
C1orf222,1853396.0,1935276.0,1,1p36.33,1p,1,p36.33,ENSG00000142609,ENSG00000142609.13
C1orf233,1533392.0,1535476.0,1,1p36.33,1p,1,p36.33,ENSG00000228594,ENSG00000228594.1
C1orf86,2115903.0,2144159.0,1,1p36.33,1p,1,p36.33,ENSG00000162585,ENSG00000162585.12
CALML6,1846266.0,1848735.0,1,1p36.33,1p,1,p36.33,ENSG00000169885,ENSG00000169885.5
CCNL2,1321091.0,1334708.0,1,1p36.33,1p,1,p36.33,ENSG00000221978,ENSG00000221978.7
CDK11A,1634169.0,1655766.0,1,1p36.33,1p,1,p36.33,ENSG00000008128,ENSG00000008128.18
CDK11B,1570603.0,1590473.0,1,1p36.33,1p,1,p36.33,ENSG00000248333,ENSG00000248333.3
CPSF3L,1246965.0,1260071.0,1,1p36.33,1p,1,p36.33,ENSG00000127054,ENSG00000127054.14
DDX11L1,11869.0,14412.0,1,1p36.33,1p,1,p36.33,ENSG00000223972,ENSG00000223972.4
DVL1,1270656.0,1284730.0,1,1p36.33,1p,1,p36.33,ENSG00000107404,ENSG00000107404.13
FAM132A,1177826.0,1182102.0,1,1p36.33,1p,1,p36.33,ENSG00000184163,ENSG00000184163.3
FAM138A,34554.0,36081.0,1,1p36.33,1p,1,p36.33,ENSG00000237613,ENSG00000237613.2
FAM213B,2517930.0,2522908.0,1,1p36.32,1p,1,p36.32,ENSG00000157870,ENSG00000157870.10
FAM41C,803451.0,812283.0,1,1p36.33,1p,1,p36.33,ENSG00000230368,ENSG00000230368.2
FAM87B,752751.0,755214.0,1,1p36.33,1p,1,p36.33,ENSG00000177757,ENSG00000177757.1
GABRD,1950780.0,1962192.0,1,1p36.33,1p,1,p36.33,ENSG00000187730,ENSG00000187730.6
GLTPD1,1260136.0,1264277.0,1,1p36.33,1p,1,p36.33,ENSG00000224051,ENSG00000224051.2
GNB1,1716729.0,1822495.0,1,1p36.33,1p,1,p36.33,ENSG00000078369,ENSG00000078369.13
HES4,934342.0,935552.0,1,1p36.33,1p,1,p36.33,ENSG00000188290,ENSG00000188290.6
HES5,2460184.0,2461684.0,1,1p36.32,1p,1,p36.32,ENSG00000197921,ENSG00000197921.5
ISG15,948803.0,949920.0,1,1p36.33,1p,1,p36.33,ENSG00000187608,ENSG00000187608.5
KLHL17,895967.0,901095.0,1,1p36.33,1p,1,p36.33,ENSG00000187961,ENSG00000187961.9
LINC00115,761586.0,762902.0,1,1p36.33,1p,1,p36.33,ENSG00000225880,ENSG00000225880.4
LINC00982,2976179.0,2985001.0,1,1p36.32,1p,1,p36.32,ENSG00000177133,ENSG00000177133.6
MIB2,1550795.0,1565990.0,1,1p36.33,1p,1,p36.33,ENSG00000197530,ENSG00000197530.8
MIR200A,1103243.0,1103332.0,1,1p36.33,1p,1,p36.33,ENSG00000207607,ENSG00000207607.1
MIR200B,1102484.0,1102578.0,1,1p36.33,1p,1,p36.33,ENSG00000207730,ENSG00000207730.1
MIR429,1104385.0,1104467.0,1,1p36.33,1p,1,p36.33,ENSG00000198976,ENSG00000198976.1
MMEL1,2522078.0,2564481.0,1,1p36.32,1p,1,p36.32,ENSG00000142606,ENSG00000142606.11
MMP23B,1567474.0,1570639.0,1,1p36.33,1p,1,p36.33,ENSG00000189409,ENSG00000189409.8
MORN1,2252692.0,2323146.0,1,1p36.32,1p,1,p36.32,ENSG00000116151,ENSG00000116151.9
MRPL20,1337288.0,1342693.0,1,1p36.33,1p,1,p36.33,ENSG00000242485,ENSG00000242485.1
MXRA8,1288069.0,1297157.0,1,1p36.33,1p,1,p36.33,ENSG00000162576,ENSG00000162576.12
NADK,1682671.0,1711896.0,1,1p36.33,1p,1,p36.33,ENSG00000008130,ENSG00000008130.11
NOC2L,879584.0,894689.0,1,1p36.33,1p,1,p36.33,ENSG00000188976,ENSG00000188976.6
OR4F16,621059.0,622053.0,1,1p36.33,1p,1,p36.33,ENSG00000185097,ENSG00000185097.2
OR4F29,367640.0,368634.0,1,1p36.33,1p,1,p36.33,ENSG00000235249,ENSG00000235249.1
OR4F5,69091.0,70008.0,1,1p36.33,1p,1,p36.33,ENSG00000186092,ENSG00000186092.4
PANK4,2439972.0,2458039.0,1,1p36.32,1p,1,p36.32,ENSG00000157881,ENSG00000157881.9
PEX10,2336236.0,2345236.0,1,1p36.32,1p,1,p36.32,ENSG00000157911,ENSG00000157911.5
PLCH2,2357419.0,2436969.0,1,1p36.32,1p,1,p36.32,ENSG00000149527,ENSG00000149527.13
PLEKHN1,901877.0,911245.0,1,1p36.33,1p,1,p36.33,ENSG00000187583,ENSG00000187583.6
PRDM16,2985732.0,3355185.0,1,1p36.32,1p,1,p36.32,ENSG00000142611,ENSG00000142611.12
PRKCZ,1981909.0,2116834.0,1,1p36.33,1p,1,p36.33,ENSG00000067606,ENSG00000067606.11
PUSL1,1243947.0,1247057.0,1,1p36.33,1p,1,p36.33,ENSG00000169972,ENSG00000169972.7
RER1,2323267.0,2336883.0,1,1p36.32,1p,1,p36.32,ENSG00000157916,ENSG00000157916.14
RN7SL657P,1340841.0,1341132.0,1,1p36.33,1p,1,p36.33,ENSG00000264293,ENSG00000264293.1
RNF223,1006346.0,1009687.0,1,1p36.33,1p,1,p36.33,ENSG00000237330,ENSG00000237330.2
SAMD11,860260.0,879955.0,1,1p36.33,1p,1,p36.33,ENSG00000187634,ENSG00000187634.6
SCNN1D,1215816.0,1227409.0,1,1p36.33,1p,1,p36.33,ENSG00000162572,ENSG00000162572.15
SDF4,1152288.0,1167411.0,1,1p36.33,1p,1,p36.33,ENSG00000078808,ENSG00000078808.12
SKI,2160134.0,2241558.0,1,1p36.33,1p,1,p36.33,ENSG00000157933,ENSG00000157933.9
SLC35E2B,1592939.0,1624167.0,1,1p36.33,1p,1,p36.33,ENSG00000189339,ENSG00000189339.7
SLC35E2,1656277.0,1677431.0,1,1p36.33,1p,1,p36.33,ENSG00000215790,ENSG00000215790.2
SSU72,1477053.0,1510249.0,1,1p36.33,1p,1,p36.33,ENSG00000160075,ENSG00000160075.10
TAS1R3,1266694.0,1270686.0,1,1p36.33,1p,1,p36.33,ENSG00000169962,ENSG00000169962.4
TMEM240,1470554.0,1475833.0,1,1p36.33,1p,1,p36.33,ENSG00000205090,ENSG00000205090.4
TMEM52,1849029.0,1850712.0,1,1p36.33,1p,1,p36.33,ENSG00000178821,ENSG00000178821.8
TMEM88B,1361508.0,1363167.0,1,1p36.33,1p,1,p36.33,ENSG00000205116,ENSG00000205116.3
TNFRSF14,2487078.0,2496821.0,1,1p36.32,1p,1,p36.32,ENSG00000157873,ENSG00000157873.13
TNFRSF18,1138888.0,1142071.0,1,1p36.33,1p,1,p36.33,ENSG00000186891,ENSG00000186891.9
TNFRSF4,1146706.0,1149518.0,1,1p36.33,1p,1,p36.33,ENSG00000186827,ENSG00000186827.6
TTC34,2567415.0,2718286.0,1,1p36.32,1p,1,p36.32,ENSG00000215912,ENSG00000215912.7
