,10p,10q,11p,11q,12p,12q,13q,14q,15q,16p,16q,17p,17q,18p,18q,19p,19q,1p,1q,20p,20q,21p,21q,22q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q
TCGA-02-0003,-1.0,-1.0,0.0,0.021627188465499485,0.0,0.03875968992248062,0.0,0.0,-1.0,0.0,0.0,0.0,0.5139896373056995,0.0,0.0,0.0,-0.001072961373390558,0.0,0.0041981528127623844,0.0,0.026845637583892617,0.0,0.0,0.0,0.0,0.005175983436853002,0.045171339563862926,0.0,0.0,0.0,0.0,-0.0011061946902654867,0.0,-0.575812274368231,0.5181347150259067,0.9987163029525032,0.0029585798816568047,0.0,0.0,0.0
TCGA-02-0033,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-0.06737967914438503,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0007704160246533128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9987163029525032,0.0029585798816568047,0.0,0.0,0.0
TCGA-02-0047,0.0,0.0,-0.9960474308300395,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.41658031088082903,0.0,0.0,0.0,0.0,-0.009244992295839754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17133956386292834,1.0,0.0,-0.02245508982035928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05333333333333334,0.0
TCGA-02-0055,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-0.9989270386266095,1.0,1.0,1.0,1.0,1.0,0.9767441860465116,1.0,0.0,0.0,-0.6900311526479751,-1.0,1.0,1.0,0.0,-0.31194690265486724,0.0,0.0,1.0,1.0,0.9970414201183432,1.0,0.0,0.0
TCGA-02-2470,0.0,0.0,0.0,0.009268795056642637,0.0,0.0,0.0,0.013903743315508022,-0.6160493827160494,0.0,-0.7146017699115044,0.0,0.0,-0.9807692307692307,0.0072992700729927005,0.0,0.046137339055793994,0.0,0.016792611251049538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03426791277258567,0.0,0.0,0.0,0.0,0.0011061946902654867,0.0,0.0,1.0,0.9987163029525032,0.0,0.0,-0.23,-1.0
TCGA-02-2483,-0.9130434782608695,-0.9618528610354223,-0.541501976284585,0.0,0.0,0.0,-0.725,-0.6160427807486631,-0.45555555555555555,0.0,0.0,0.0,0.0,0.0,0.8321167883211679,0.0,-0.001072961373390558,-0.5285053929121726,0.815281276238455,0.6681034482758621,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-0.014144271570014143,-0.9530685920577617,0.0,0.0,0.020710059171597635,1.0,-0.15333333333333332,0.6146131805157593
TCGA-02-2485,-1.0,-1.0,0.0,0.0,0.0,0.036544850498338874,0.0,0.0,-0.0012345679012345679,-0.23007246376811594,0.0,0.0,0.0,0.0,0.0,0.9970326409495549,0.9989270386266095,-0.0015408320493066256,-0.047019311502938706,0.0,0.0,0.0,0.0,0.0,0.0,-0.002070393374741201,-0.001557632398753894,0.0,-1.0,-0.9431137724550899,0.0,0.0,0.0,0.0,1.0,0.993581514762516,0.0029585798816568047,0.0,0.0,0.0
TCGA-02-2486,-1.0,-1.0,0.0,0.004119464469618949,0.0,0.017718715393133997,0.0,-0.3582887700534759,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010015408320493066,0.01343408900083963,0.0,0.0,0.0,0.0,-1.0,0.0016025641025641025,0.0,-0.9236760124610592,0.0,0.02422145328719723,-0.0029940119760479044,0.0,0.0022123893805309734,0.0,0.01444043321299639,1.0,0.9974326059050064,-0.9911242603550295,-0.1897810218978102,-0.2633333333333333,0.0071633237822349575
TCGA-06-0119,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44938271604938274,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9989270386266095,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9987163029525032,0.0029585798816568047,0.0,-1.0,-0.2593123209169054
TCGA-06-0122,-1.0,-1.0,0.0,0.0,-0.0029498525073746312,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9989270386266095,-0.07858243451463791,0.0008396305625524769,1.0,1.0,0.0,0.0,0.0,0.0,-0.0010351966873706005,0.0,0.0,-0.006920415224913495,0.0014970059880239522,-0.09289617486338798,0.0,0.0,-0.4223826714801444,0.8238341968911918,0.12323491655969192,0.3254437869822485,-0.0018248175182481751,-1.0,0.3753581661891118
TCGA-06-0124,-1.0,-1.0,0.0,0.0,0.0,0.013289036544850499,-0.3482142857142857,0.01818181818181818,-1.0,0.0,0.0,0.043689320388349516,0.0,0.0,0.0,1.0,0.22532188841201717,-0.054699537750385205,0.005877413937867338,0.0,0.0,0.0,0.0,0.012411347517730497,0.0,0.0,0.0,0.0,0.0,0.01347305389221557,0.0,0.0,0.0,-0.01263537906137184,1.0,0.9987163029525032,0.0029585798816568047,0.0,-0.5833333333333334,0.0071633237822349575
TCGA-06-0125,-0.4505928853754941,-1.0,-0.003952569169960474,0.003089598352214212,0.0,0.021040974529346623,-0.14642857142857144,-0.016042780748663103,-0.0049382716049382715,0.0,-0.0022123893805309734,0.0,-0.08393782383419689,0.0,0.0,1.0,0.9989270386266095,0.01078582434514638,0.0,1.0,1.0,0.0,-0.003875968992248062,0.0,0.016025641025641024,0.0,0.00778816199376947,0.004092769440654843,0.04844290657439446,0.0,0.0,0.0,0.02263083451202263,-0.0036101083032490976,1.0,0.9987163029525032,0.0029585798816568047,0.0,-0.14666666666666667,0.004297994269340974
TCGA-06-0126,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9989270386266095,-0.08166409861325115,-0.25272879932829556,1.0,1.0,-1.0,-0.12403100775193798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9715025906735751,0.9987163029525032,0.0029585798816568047,0.0,-0.41333333333333333,0.0
